Label,sentence
실시간 채널>수신 불량,수신 불 관리자 핀번 입력창뜸코로나 미 대상
실시간 채널>화질 이상,끊김 미리 연락 후 방문 요망지킴이 가입
단말>STB(작동)이상,큰 방수 신불부 전원 안 켜짐 빨간 불거실는 잘됨화요일 방문원함 안심권유 인터넷 지킴이 실패
실시간 채널>수신 불량,수신 불 연락 후 잦은 고장불편 많음 교체 언급 요청인 입
실시간 채널>네트워크 오류,수신 불네트워크 오류 메세지 최대한 빠른 점검 필요
실시간 채널>화질 이상,채널 화질 불량 지직거림 빠른 방문 요청 근본 해결 코로나미 대상
실시간 채널>네트워크 오류,수신 불인터넷 연결오류 단말 구별 불가 주소로 임의 접수
실시간 채널>화질 이상,요청사항 화면 안 나옴 음성 정상셋 탑재부팅해도 동일 방문 시간 참고
단말>STB(작동)이상,수신 불 연락 후 전원인입
단말>리모컨작동불가>현장출동,리모컨 작동 불리모컨에 버튼을 안 눌러도 리모컨에 불이 계속 들어오면서 오작동이 됨연 후방
실시간 채널>네트워크 오류,안심권유수 신불인터넷 오류연 후방
실시간 채널>네트워크 오류,수신 불네트워크 오류 홈 너무 뜨겁다며 문제 있는 건 아닌 지 방문해서 확인요
단말>리모컨작동불가>택배발송,리모컨 안됨 가까이에서는 되고 멀리서는 안됨 리모컨 페어링재부팅에 택배 접수함
실시간 채널>화질 이상,거실 화질이 상 시청 중 화면이 지 직거린 다심
실시간 채널>수신 불량,수신 불 최대한 빠른 점검 요청
실시간 채널>수신 불량,오전 정 전 후 수신 불코로나미 대상 안심권유
단말>리모컨작동불가>현장출동,리모컨 작동 불가설정 방법 문자 전송도함
실시간 채널>수신 불량,시청 불비정상리셋코로나무 미리 연락요비 정상
실시간 채널>수신 불량,시시로 안됨 시청 중 끊김 현상 연락처 못 받을 시 추가 연락처로 해달라 함
단말>리모컨작동불가>M&S내방안내,리모컨 작동 불매장 안내 본인
AS접수/변경>장비리셋 후 재사용 요청,리셋 접수 수신 불리셋
실시간 채널>수신 불량,일시 요청 코로나 이 상무수신 불량 입력신 없음셋 탑 전원 확인재부팅해 봄연
장애안내>케이블(전송로) 장애,대다 안됨 시청 불광케이블 장애 안내장애 완료 후 연락요
단말>STB(작동)이상,독촉 셋 탑 전원이 켜졌다 안 켜졌다 함 방문 전 연락요
AS접수/변경>장비리셋 후 재사용 요청,리셋 접수 시간 내 외 리콜 안내수신불
단말>STB(부팅) 이상>부팅중 오류메시지 발생,수신 불로 딩 중뜸 연 후방
실시간 채널>수신 불량,수신불 정상
단말>STB(부팅) 이상>부팅지연(오류메시지 없음),대중대는 켜지는 속도 느림대는 선재연결 요청 위치 이동 없음 연락 후 방문
실시간 채널>수신 불량,독촉 당일 예약 취소 건 있으면 방문해달라 심확답불가 일시시대 수신불올인 홈 정상포트리셋리 부팅 안내함
AS접수/변경>장비리셋 후 재사용 요청,리셋 접수 수신불
실시간 채널>수신 불량,수신불
실시간 채널>수신 불량,수신 불비 정상
실시간 채널>수신 불량,독촉 시청 불스트링에러 포트리셋 회선 꼼꼼 점검 요청 세탑교체 수시 발행 불만시험불
실시간 채널>수신 불량,독촉 극심수신불
단말>STB(부팅) 이상>부팅중 오류메시지 발생,코로나 이 상무지니 사용 대 서비스 시작 중 문구에서 안 넘어간 다함 장비 재부팅 안내 배정시 미리 연 후방
원인불명>조치 전 자연 회복,수신 불자연회복됨
AS접수/변경>장비리셋 후 재사용 요청,리셋 접수 시간 내 외 리콜 안내수신불
실시간 채널>수신 불량,빠른 방문 요청함임의회선티비수 신불주소 확인
실시간 채널>수신 불량,시 처음 채널 만 나오고 채널 변경 안됨재부팅 확인함
실시간 채널>수신 불량,추가일 오전 시시 방문 안내함 신미약
단말>STB(작동)이상,시청 불기가 지니 전원 접촉 불량
AS접수/변경>장비리셋 후 재사용 요청,리셋 접수로딩 중 나오면서 수신불시간 내 외 안내
단말>STB(작동)이상,독촉 전원 녹색 불에서 변동안됨연 후방
단말>STB(작동)이상,코로나 이 상무임의회선이상
단말>STB(작동)이상,셋탑 전원안 들어 옴 정상
실시간 채널>수신 불량,일시 안내함 화면 안 나오면서 줄이 생긴 다함 재부팅 요망
실시간 채널>수신 불량,긴급 독촉 심함 차리셋 후 동일 빠른 방문원함 업무용 당일 취소 건 있을 경우 우선 방문원함리셋 접수 수신 불리셋
원인불명>조치 전 자연 회복,수신 불인터넷 연결 상태 확인 메세지 접수 중 정상 사용됨
실시간 채널>수신 불량,수신 불 외부 신고함
실시간 채널>수신 불량,일시시 수신불올인 홈 정상포트리셋리 부팅 안내함
원인불명>조치 전 자연 회복,자연회복
장애안내>네트워크장비 장애,장비 장애 안내
실시간 채널>화질 이상,화질이 상장비리셋 안내 후 정상 정상
단말>STB(작동)이상,셋탑박스 전원선을 뺐다 꼽아야 전원이 켜진다고 함 연락 후 방문
실시간 채널>화질 이상,티비끊김
실시간 채널>수신 불량,수신 불장 비리셋 동일 비정상
실시간 채널>수신 불량,일시 대중대 안됨수신 불신 없음 전원 선재부팅 후 동일
실시간 채널>수신 불량,수신불
단말>STB(작동)이상,전원이상수동으로도 작동 안됨 녹색 불이 안 들어 옴임의회선 최대한 빠른 방문 요청하심
실시간 채널>수신 불량,수신불대는 고장으로 확인 안됨회 선 구분 어려워 임의 접수함 연후방
실시간 채널>수신 불량,수신불
실시간 채널>수신 불량,시청 불줄생 김 시청 중멈춤 반복됨 포트리셋 일정 점검했는데도 동일
실시간 채널>수신 불량,수신 불리모컨 작동 불가로 같이 점검 요청
실시간 채널>네트워크 오류,코로나무 실시간 시청은 되나지니 음성 출시 인터넷 연결에 러뜸 방문 전 연락원함
단말>STB(부팅) 이상>부팅중 오류메시지 발생,시청 불로딩 중 포트리셋 시험불
실시간 채널>수신 불량,임의수신 불리셋
실시간 채널>수신 불량,수신불
실시간 채널>수신 불량,고령자 오전 취소 건 있을 경우 우선 방문 원함 독촉심함 차리셋 후 동일 빠른 방문원함리셋 접수시간 내외 리콜 안내수신불
실시간 채널>수신 불량,수신불
"고객원인>부주의, ID/PW 분실 등",부주의 쥐가 선을 갉았다고 하심 정상
실시간 채널>수신 불량,취소 건 있으면 당겨서 점검 시청 불리셋코로나무 미리 연락요
AS접수/변경>장비리셋 후 재사용 요청,리셋 접수 수신 불리셋
AS접수/변경>임대단말 분실/파손,원리모컨 파손 구매 접수 및 통합설정 페어링 설정 문자 발송
단말>STB(작동)이상,김현철 채팅셋 탑 작동 이상 댁내셋탑대가 모두 자동으로 꺼졌다 켜진다고 함접수는 보류 요청함
실시간 채널>수신 불량,시청 불외부 입력 설정 시청 안 됨 셋탑리셋 정상
실시간 채널>수신 불량,수신불
고객원인>증설/구내선 정리요청,임 의회 선선 연결 요청 방문점검 요청 정상
실시간 채널>수신 불량,임의수신 불주소 확인
실시간 채널>수신 불량,임의수신 불 연락 후 방문
실시간 채널>수신 불량,수신 불선 끊김
단말>STB(부팅) 이상>부팅중 오류메시지 발생,부팅 중멈춤 셋탑을 교체해달라고 요청하심
AS접수/변경>장비리셋 후 재사용 요청,일리셋대수신불리셋인 입
실시간 채널>화질 이상,일시 영상 안 나옴 음성 정상
"고객원인>부주의, ID/PW 분실 등",청소 후 화면 정상 음성안 나옴셋탑리셋 안내외부라고 접수해 달라심
AS접수/변경>장비리셋 후 재사용 요청,리셋 접수 시간 내 외 리콜 안내수신불
실시간 채널>음성 이상,추가일 오후 방문 안내함 음성이상 음성 송출됨셋탑재 부팅해도 동일 증상
실시간 채널>수신 불량,임의 화면 안나 옴 문제인 지 리모컨 문제인 지 점검 요청
실시간 채널>수신 불량,수신불
실시간 채널>화질 이상,부재중이라 들어가서 하시면 된다며 연락 먼저 달라 함영상끊김 흔들림 연락 후 방문
실시간 채널>수신 불량,티비인됨 케이블 연결 상태 오류 뜸 녹색 외부 입력 확인함 빠른 점검요
실시간 채널>수신 불량,시청 불신없음기가 지니 외부 입력 후 동일기가 지니리셋 후 사용됨
AS접수/변경>장비리셋 후 재사용 요청,일리셋 수신 불리셋
AS접수/변경>장비리셋 후 재사용 요청,리셋 접수 수신불
실시간 채널>수신 불량,수신 불 연락 후 방문
실시간 채널>수신 불량,차리셋 후 동일 빠른 방문원함 잦은 고장 불만 꼼꼼하게 점검 요청 지난번 다녀간 엔지니어 말고 기술 뛰어난 엔지니어 방문원함 민원심함리셋 접수 수신불
실시간 채널>수신 불량,코로나 이 상무재확인 필티비수 신불 최대한 빠른 방문 희망매장 인터넷
AS접수/변경>장비리셋 후 재사용 요청,리셋 시청 불수신 미약
실시간 채널>수신 불량,수신 불셋탑리셋 동일
실시간 채널>수신 불량,리모컨지참까지 해서 방문 요청함 추가일 오전 시시 방문 안내함수 신불 화면 안나 옴셋탑재 부팅해도 동일 증상 언급
실시간 채널>수신 불량,아트빌 수 신불시 방문 요청 외부 임의 코로나 이 상무
"고객원인>부주의, ID/PW 분실 등",리모컨 잘못 건드리고 수신 불엔지니어 확인되면 연락 먼저 요청
실시간 채널>수신 불량,시청 불화면 깨짐 연결오류셋 탑리셋 정상
단말>STB(작동)이상,코로나 이 상무재확인 필임의 회선작은 방 정상인
단말>리모컨작동불가>현장출동,코로나 이 상무재확인 필리모컨 버튼 누르면 초 뒤에 반응함 모뎀 셋톱재부팅해도 동일 현상 반복 방문 점검 요청 정상
AS접수/변경>장비리셋 후 재사용 요청,리셋 시간 전후 안내화면 정상 음성 안 나옴
양방향서비스>양방향서비스 사용불가,유투브랑넷플릭스 안됨작은 방 노트북도 같이 안됨연 후방
실시간 채널>수신 불량,티비전부 안됨 빠른 점검 요인입
실시간 채널>수신 불량,취소 건 있을 시 챙겨서 방문 요청 독촉 코로나 이 상무재확인 필티 수신 불바코드 확인
실시간 채널>수신 불량,시시로 수신불
실시간 채널>수신 불량,차리셋 후 동일 빠른 방문원함 당일 취소 건 있을 경우 우선 방문 원함리셋 접수시간 내외 리콜 안내수신불
AS접수/변경>장비리셋 후 재사용 요청,리셋 접수 시간 화질이상 화면 계속 끊어짐
"고객원인>부주의, ID/PW 분실 등",티비교체 이후 티비수 신불주소 확인
실시간 채널>수신 불량,코로나 이 상무재확인 필수신불 화면 안나 옴 정상인
실시간 채널>화질 이상,시청 중 끊김 연후방
단말>STB(부팅) 이상>부팅중 오류메시지 발생,차리셋 후 동일부 재중이더라도 방문 요청 연락 주면 비번 확인해주신다고 함리셋 접수로딩 중 나오면서 수신불시간 내 외 안내
단말>STB(작동)이상,코로나 이 상무재확인 필티비셋 탑 전원안 들어 옴 정상
단말>STB(작동)이상,코로나 이 상무재확인 필볼륨이 상 방문점검요
단말>리모컨작동불가>M&S내방안내,기가 지니리모컨 작동 불매장 안내
실시간 채널>수신 불량,코로나 이 상무재확인 필티 수신 불인터넷 연결불정상
실시간 채널>수신 불량,일시 시청 불셋 탑재 부팅해 보라 안내
실시간 채널>화질 이상,빠른 방문 요청함 화질이 상장 비리셋 이후 동일주소 확인
실시간 채널>화질 이상,티비끊김
실시간 채널>네트워크 오류,코로나 이 상무인터넷 연결오유
원인불명>조치 전 자연 회복,봇기가 지니 응답문의 리셋 진행 정상인
실시간 채널>수신 불량,독촉 수신불
실시간 채널>수신 불량,시대 모두 안됨재부팅 확인함
실시간 채널>수신 불량,티비수 신불연 후방
AS접수/변경>장비리셋 후 재사용 요청,리셋 접수 수신 불리셋
단말>STB(작동)이상,임 의회 선셋 탑 전원안 들어 옴 연락후
실시간 채널>수신 불량,수신 불셋탑 정상이나 초록빛으로 뜨고 안 나 옴셋탑재 부팅 후 정상
AS접수/변경>장비리셋 후 재사용 요청,리셋 접수 시간 내 외 리콜 안내수신불
실시간 채널>수신 불량,지니시청 불대만 안됨엔지니어 접수해 놓으라고 했다 함 방문 전 연락 요청 코로나 이 상무
실시간 채널>전환 지연,채널 전환 지연셋탑 점검 후 교체 요청 방문 전 연락요
단말>리모컨작동불가>택배발송,리모컨 작동 불가 모든 버튼 사용 안됨 건전지 교체 이후 동일주소 확인 무료 배송 등록함
실시간 채널>수신 불량,일시 대중 어머님 방티비 안됨 화면에 업그레이드합니다오류만 떠서 사라지지 않는 다심재부팅해도 안 됨
VOD/컨텐츠>네트워크 오류,리모컨 고장까지 같이 점검 요청 함 추가일 오전 시시 방문 안내함 메뉴 실행 불가 네트워크 오류 송출됨 안됨 링크 비정상 확인됨
실시간 채널>수신 불량,코로나 이 상무재확인 필티비시청 불모뎀 셋톱재부팅해도 동일 현상 반복 방문점검 요청 정상
실시간 채널>수신 불량,수신불 정상
단말>STB(작동)이상,임 의회 선세탑 작동 이상
실시간 채널>네트워크 오류,코로나 이 상무재확인필 시청 불네트워크 오류 전체 리셋안내 모뎀 정상인
실시간 채널>화질 이상,수신 중 화면 고정 셋탑리셋 동일
실시간 채널>수신 불량,수신불임의회선 접수 바코드 확인 안됨
실시간 채널>수신 불량,시청 불음성안 나온다고 하고 기가 지니리셋 후안 됨
단말>리모컨작동불가>현장출동,코로나 이 상 무얼마 전 리모컨 분실하여 새로 구매했는데 택배로 받으심 통합설정안 먹는다 하심 설정 방법대로 확인 후 해봐도 동일하다 함수 동 방법동일 방문점검 요배정시 미리 연 후방 대우
실시간 채널>음성 이상,일시 시 음성이상 화면 정상 음성안 나 옴재부팅해 봤다 심
실시간 채널>수신 불량,일시 시청불
실시간 채널>수신 불량,수신 불주소 확인
단말>STB(작동)이상,김현철 채팅셋 탑 작동 이상 고장 접수함 댁내셋탑대가 모두 저절로 꺼졌다 켜졌다 한다고 함셋탑에 자동 전원 설정은 안 되어 있다고 함연 후방
"고객원인>부주의, ID/PW 분실 등",코로나 이 상무재확인 필 모니터 재설치 후 수신 불 연락 후 빠른 방문요정상
실시간 채널>네트워크 오류,독촉 영업장 빠른 방문 요청 네트워크 오류도 접속 불비 정상
실시간 채널>네트워크 오류,코로나 이 상무대 모두 인터넷 연결 오유뜸 신비정상
실시간 채널>수신 불량,코로나 이 상무재확인 필티비수 신불두 대다수 신불리셋 후에도 수신불 정상신
실시간 채널>수신 불량,수신 불셋탑리셋 동일
AS접수/변경>장비리셋 후 재사용 요청,리셋 접수 수신 불리셋
실시간 채널>수신 불량,코로나 이 상 무안내 실임의회 선수신불인입
실시간 채널>수신 불량,수신 불안 방안됨이 병인 직원 보내지 마라고함
AS접수/변경>장비리셋 후 재사용 요청,리셋 접수로딩 증 상태로 수신불
실시간 채널>수신 불량,임 의회 선수 신불
단말>리모컨작동불가>현장출동,최대한 늦게 방문 요청 리모컨 작동 불전원 깜빡거리면서 소리 난다며 교체 요청연 후방
실시간 채널>수신 불량,수신 불연 후방
실시간 채널>음성 이상,수신 중 음성이 상장 비리셋
실시간 채널>수신 불량,최대한 빠른 점검요일 시신 미약 오류뜨면서 시청불
실시간 채널>전환 지연,리모컨 전환 지연
단말>리모컨작동불가>현장출동,시기가 지니리모컨 일부 버튼 작동 불재부팅해도 안 됨
실시간 채널>수신 불량,수신불
실시간 채널>화질 이상,시청 중 끊김임의
실시간 채널>수신 불량,급취소나 연기건 있음 앞 당겨 요청 코로나 이 상무대 중대안방수신 불량 최대한 빠른 방문 요청연
단말>STB(작동)이상,코로나 이 상무재확인필 빠른 방문 요청 볼륨이 상 방문점검요
AS접수/변경>임대단말 분실/파손,원리모콘 파손등록 리모컨
실시간 채널>수신 불량,독촉 취소 건이나 연기건 있으면 빠른 방문 요청 코로나 이 상 무스트링에 러 시청 불포트리셋재부팅 네오스망 구성도 모뎀 정상
시설관리>기타 KT시설(상세메모기입),서비스 번 가입자 명문경아 연락처 인터넷 복명 확인됨 빠른 개통 희망
실시간 채널>수신 불량,수신불임의 연후방 엔지니어 배정 즉시 연락 요청
실시간 채널>수신 불량,수신불
실시간 채널>전환 지연,채널 전환 지연 티비켤 때도 늦게 켜진다며 방문 시 전체적 점검 요청 방문했던 엔지니어 말고 다른 엔지니어 방문 요청
실시간 채널>수신 불량,수신불
실시간 채널>네트워크 오류,일시수신불인터넷 연결오류 메세지
단말>STB(작동)이상,차현재 셋탑 자동이상 셋 탑 전원 적색불수동으로 해도 동일함 셋탑 음성인식도 안됨리셋 접수 수신 불리셋
실시간 채널>수신 불량,수신불
실시간 채널>수신 불량,일시 시청 불셋 탑재 부팅해 봄
AS접수/변경>장비리셋 후 재사용 요청,리셋 접수 방수 신불리셋
단말>리모컨작동불가>M&S내방안내,리모컨 작동 불채널 아래 방향 버튼 작동 불재부팅 안내함 외부 신고 교체 요청 플라자 내방 가능하다 심으로 문자 전송함 페어링 통합 설정 문자전송 함대리인으로 안내안함
실시간 채널>수신 불량,시청 불번전화하라고 나옴
단말>STB(작동)이상,넥플릭스 안됨 외부 신고함 보류셋 탑재 부팅 안내
실시간 채널>수신 불량,수신불
실시간 채널>화질 이상,화면 안 나오고 소리만 들림장비 쟁부팅해도 동일
실시간 채널>수신 불량,독촉 영업장 최대한 빠른 방문 요청 티비수 신불대만 발생한 채널만 지속 나오며 다른 채널 시청 안됨 셋탑재 부팅해도 동일고장 접수
AS접수/변경>장비리셋 후 재사용 요청,리셋 접수 시간 전후 리콜 안내화면 안나옴소리만 들림
실시간 채널>네트워크 오류,코로나 이 상무재확인 필티비됐다 안됐다 반복 인터넷 접불 정상
AS접수/변경>장비리셋 후 재사용 요청,리셋 시간 전후 안 내수신불로딩중
단말>음성인식이상(기가지니),코로나 이 상무기가 지니대답 없고 부리지 않아도 혼자 말한 다함 김인재 기사 방문제 외 요청 길범수기 사 요청
AS접수/변경>장비리셋 후 재사용 요청,리셋 접수 수신불
실시간 채널>음성 이상,음성안 나옴 화면은 정상
단말>STB(작동)이상,오후 전원안 들어 옴 전원 선재 연결확인함
AS접수/변경>장비리셋 후 재사용 요청,리셋 접수 거실 수신불
실시간 채널>수신 불량,수신불임의 코로나 이 상 무인
실시간 채널>수신 불량,수신불 정상자 제분 대리신고
"고객원인>부주의, ID/PW 분실 등",구매 후 재설치 요청 위치 이동 외부 신고 연락 후 방문
"고객원인>부주의, ID/PW 분실 등",수신 불티비교체 후 재연결했는데 안 되신다고 하심 위치 이동
실시간 채널>수신 불량,접수 보류셋탑리셋 안내
실시간 채널>수신 불량,독촉 빠른 방문 요청 수신 불진단 비정상
실시간 채널>수신 불량,수신 불방문 전 연락요
단말>STB(작동)이상,셋탑 전원
실시간 채널>화질 이상,코로나무 시청도중 수시 끊김 케이블 불량 같다고 교체 원함 장비나 케이블 문제면 교체 원함
AS접수/변경>장비리셋 후 재사용 요청,리셋 접수 화면에 자막 만 나온다 하심 수신 불포트리셋재부팅
실시간 채널>수신 불량,수신 불방문점검 요청 연 후방
실시간 채널>음성 이상,음성이 상장 비리셋 안내 후 정상
실시간 채널>수신 불량,수신불
실시간 채널>수신 불량,대수신불임의회선
단말>STB(작동)이상,전원안 들어옴
AS접수/변경>장비리셋 후 재사용 요청,리셋 접수 시간 내 외 안내수신불
실시간 채널>네트워크 오류,코로나 이 상무인터넷 연결오류
단말>리모컨작동불가>현장출동,추가일 오전 시시 방문 안내함 리모컨 작동 불장기간 사용으로 노후된 탓에 리모컨 버튼 조작 불량 발생됨 매장 방문 택배 발송 안내했으나 현장 방문해서 리모컨 교체되게끔 요청하셔서 고장 접수 진행 이용 방법 발송함
실시간 채널>수신 불량,임 의회 선시청 불위성 오류리셋해 보심
AS접수/변경>장비리셋 후 재사용 요청,리셋 접수대수신 불리셋 정상
실시간 채널>화질 이상,화질이상 화면 어두워짐 단말리셋 후 정상 정상
실시간 채널>수신 불량,수신 불수시로 셋탑 꺼짐 현상 독촉
실시간 채널>수신 불량,수신불
실시간 채널>수신 불량,수신불
단말>STB(작동)이상,전원이상
AS접수/변경>장비리셋 후 재사용 요청,봇리셋 접수인수신 불리셋 안내
실시간 채널>수신 불량,오전 수신 불신 비정상 점검 요청인 입
실시간 채널>수신 불량,시청 불부전원 정상 외부 입력 정상리셋코로나무 미리 연락요
실시간 채널>화질 이상,일시 안내화면 떨림
단말>리모컨작동불가>택배발송,택배 발송 요청 추티거
실시간 채널>수신 불량,수신 불안되는 셋탑 확인 잦은 고장불만으로 꼼꼼한 점검 요청
실시간 채널>수신 불량,코로나 이 상무재확인 필수신불
실시간 채널>수신 불량,대만 수신 불연 후방
실시간 채널>네트워크 오류,수신 불네트워크 오류 뜸 미리 연락후
AS접수/변경>장비리셋 후 재사용 요청,리셋티비수 신불장비재부팅 안내
단말>리모컨작동불가>M&S내방안내,리모컨 고장 매장 안내 문자 발송완
단말>STB(작동)이상,셋탑 전원안 들어 옴 방문 전 연락요
실시간 채널>화질 이상,티비대 중 거실에 있는 티비만 시청 중 갑자기 끊기거나 화면이 저절로 꺼져버린다며 점검 요청 연 후방
실시간 채널>수신 불량,대만 시청불
